Date;Asset;Open;High;Low;Close; Volume ;Decision;OpenInterest
22/03/2018;ICFFUT;233,52;234,78;232,17;234,23; R$4.010.324,22 ;Sell;4948
21/03/2018;ICFFUT;231,93;236,21;231,93;233,52; R$14.819.637,95 ;Sell;5027
20/03/2018;ICFFUT;233,12;234,31;232,33;232,64; R$80.486.484,61 ;Sell;4691
19/03/2018;ICFFUT;232,25;234,62;232,25;233,12; R$2.324.313,74 ;Sell;4707
16/03/2018;ICFFUT;232,72;232,72;230,43;232,01; R$5.731.043,38 ;Sell;0
15/03/2018;ICFFUT;237,08;237,47;232,09;233,91; R$13.120.396,62 ;Sell;4730
14/03/2018;ICFFUT;238,42;240,48;236,68;236,76; R$6.358.137,72 ;Sell;0
13/03/2018;ICFFUT;234,62;239,69;234,62;238,66; R$11.341.983,41 ;Sell;4718
12/03/2018;ICFFUT;236,6;236,6;234,31;235,1; R$3.618.473,88 ;Sell;4716
09/03/2018;ICFFUT;236,37;237,47;235,57;236,05; R$1.900.301,37 ;Sell;4719
08/03/2018;ICFFUT;237,47;238,74;235,42;236,44; R$5.436.884,26 ;Sell;4739
07/03/2018;ICFFUT;237,55;238,26;235,97;237,47; R$3.366.872,87 ;Sell;4720
06/03/2018;ICFFUT;238,58;240,48;237,08;237,95; R$3.424.548,02 ;Sell;4727
05/03/2018;ICFFUT;241,04;241,04;236,6;237,95; R$5.778.446,56 ;Sell;4707
02/03/2018;ICFFUT;241,83;242,22;239,37;241,11; R$4.548.774,12 ;Sell;4698
01/03/2018;ICFFUT;238,98;242,7;237,87;241,75; R$15.320.204,20 ;Sell;4757
28/02/2018;ICFFUT;236,92;239,61;236,37;239,06; R$8.767.883,99 ;Sell;4804
27/02/2018;ICFFUT;239,06;240,56;237;237,24; R$10.238.394,78 ;Sell;4810
26/02/2018;ICFFUT;238,82;241,99;237,63;239,45; R$9.299.690,41 ;Sell;4834
23/02/2018;ICFFUT;236,68;241,43;236,68;239,06; R$19.108.083,06 ;Sell;4859
22/02/2018;ICFFUT;234,47;237,79;233,52;237,16; R$12.671.341,38 ;Sell;4831
